state,year,job,population,proportion
Australian Capital Territory,2003,43329,431826,10.03
New South Wales,2003,27471,8176368,0.34
Victoria,2003,22570,6648564,0.34
Queensland,2003,16097,5206400,0.31
South Australia,2003,7918,1771703,0.45
Western Australia,2003,7940,2675797,0.30
Tasmania,2003,3170,541965,0.58
Northern Territory,2003,2207,247023,0.89
Other Territories,2003,930,370000,0.25
Australian Capital Territory,2004,44684,431826,10.35
New South Wales,2004,26824,8176368,0.33
Victoria,2004,21975,6648564,0.33
Queensland,2004,15860,5206400,0.30
South Australia,2004,7851,1771703,0.44
Western Australia,2004,7825,2675797,0.29
Tasmania,2004,3185,541965,0.59
Northern Territory,2004,2177,247023,0.88
Other Territories,2004,911,370000,0.25
Australian Capital Territory,2005,46578,431826,10.79
New South Wales,2005,26995,8176368,0.33
Victoria,2005,21715,6648564,0.33
Queensland,2005,16087,5206400,0.31
South Australia,2005,8040,1771703,0.45
Western Australia,2005,7776,2675797,0.29
Tasmania,2005,3225,541965,0.60
Northern Territory,2005,2059,247023,0.83
Other Territories,2005,910,370000,0.25
Australian Capital Territory,2006,51584,431826,11.95
New South Wales,2006,29326,8176368,0.36
Victoria,2006,23573,6648564,0.35
Queensland,2006,17531,5206400,0.34
South Australia,2006,8651,1771703,0.49
Western Australia,2006,8525,2675797,0.32
Tasmania,2006,3545,541965,0.65
Northern Territory,2006,2229,247023,0.90
Other Territories,2006,994,370000,0.27
Australian Capital Territory,2007,56069,431826,12.98
New South Wales,2007,30641,8176368,0.37
Victoria,2007,25222,6648564,0.38
Queensland,2007,18005,5206400,0.35
South Australia,2007,9195,1771703,0.52
Western Australia,2007,8750,2675797,0.33
Tasmania,2007,3720,541965,0.69
Northern Territory,2007,2393,247023,0.97
Other Territories,2007,1094,370000,0.30
Australian Capital Territory,2008,58125,431826,13.46
New South Wales,2008,30944,8176368,0.38
Victoria,2008,25610,6648564,0.39
Queensland,2008,18098,5206400,0.35
South Australia,2008,9527,1771703,0.54
Western Australia,2008,8454,2675797,0.32
Tasmania,2008,4497,541965,0.83
Northern Territory,2008,2871,247023,1.16
Other Territories,2008,1171,370000,0.32
Australian Capital Territory,2009,59793,431826,13.85
New South Wales,2009,31213,8176368,0.38
Victoria,2009,25960,6648564,0.39
Queensland,2009,18131,5206400,0.35
South Australia,2009,9648,1771703,0.54
Western Australia,2009,8252,2675797,0.31
Tasmania,2009,4168,541965,0.77
Northern Territory,2009,2802,247023,1.13
Other Territories,2009,1307,370000,0.35
Australian Capital Territory,2010,61952,431826,14.35
New South Wales,2010,31415,8176368,0.38
Victoria,2010,25885,6648564,0.39
Queensland,2010,18283,5206400,0.35
South Australia,2010,9785,1771703,0.55
Western Australia,2010,7988,2675797,0.30
Tasmania,2010,4164,541965,0.77
Northern Territory,2010,2859,247023,1.16
Other Territories,2010,1458,370000,0.39
Australian Capital Territory,2011,63785,431826,14.77
New South Wales,2011,31005,8176368,0.38
