state;city;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Australian Capital Territory;Australian Capital Territory;43329;44684;46578;51584;56069;58125;59793;61952;63785;66388;64325;60651;58180;58003;57675;57066;55183
New South Wales;Sydney - City and Inner South;15227;12708;12607;12883;13165;13315;12838;13153;13191;13379;11724;10893;10762;11397;11245;10687;10249
New South Wales;Sydney - Eastern Suburbs;204;263;253;354;351;361;357;361;338;358;370;347;339;244;222;210;196
New South Wales;Sydney - Inner South West;1102;1176;1117;1153;1150;1129;1143;1073;1040;1005;1004;876;512;441;249;245;279
New South Wales;Sydney - Sutherland;117;157;120;153;164;170;181;174;165;177;179;166;151;140;130;124;145
New South Wales;Sydney - North Sydney and Hornsby;495;538;655;694;743;779;782;720;444;486;613;435;520;497;500;470;550
New South Wales;Sydney - Inner West;131;145;139;179;168;153;176;164;135;143;126;111;101;135;140;148;146
New South Wales;Sydney - South West;959;1055;990;1028;1070;911;894;873;814;948;1013;1013;968;1037;993;951;874
New South Wales;Sydney - Northern Beaches;57;100;86;113;101;102;102;94;82;71;89;83;70;55;51;38;62
New South Wales;Sydney - Ryde;28;56;76;96;87;81;88;76;66;80;256;77;233;244;229;217;208
New South Wales;Sydney - Parramatta;1481;1533;1526;2172;2407;2461;2528;2595;2916;2836;3216;3164;3331;3170;3118;3009;2921
New South Wales;Sydney - Baulkham Hills and Hawkesbury;27;39;38;47;78;78;90;84;77;79;69;73;74;72;71;62;68
New South Wales;Sydney - Blacktown;126;198;211;266;276;260;316;322;288;266;334;311;306;289;291;286;290
New South Wales;Sydney - Outer South West;125;177;165;192;190;185;203;200;191;173;160;160;166;167;182;189;198
New South Wales;Central Coast;327;406;408;563;625;584;623;580;547;545;594;576;577;585;575;929;913
New South Wales;Newcastle and Lake Macquarie;1406;1657;1718;1790;1858;1888;1882;1836;1857;1699;1796;1729;1716;1898;1800;1654;1585
New South Wales;Hunter Valley exc Newcastle;494;542;546;657;768;874;915;854;917;916;947;899;833;801;764;720;723
New South Wales;Mid North Coast;222;309;338;365;432;401;450;474;453;429;493;464;461;479;469;424;438
New South Wales;New England and North West;212;265;245;288;294;292;308;304;280;236;239;220;216;206;208;216;310
New South Wales;Far West and Orana;121;149;147;160;169;172;180;179;164;161;207;619;191;175;174;179;166
New South Wales;Coffs Harbour - Grafton;312;394;434;441;481;468;630;646;582;529;601;619;609;656;609;598;581
New South Wales;Richmond - Tweed;309;446;495;619;608;602;617;610;572;567;631;590;576;595;562;526;513
New South Wales;Illawarra;727;888;989;1066;1201;1284;1294;1372;1304;1231;1633;1579;1562;1597;1509;1522;1420
New South Wales;Southern Highlands and Shoalhaven;332;357;363;442;488;498;513;490;468;417;431;432;385;406;390;395;383
New South Wales;Capital Region;523;593;551;624;619;574;679;661;687;874;732;694;922;915;813;853;672
New South Wales;Riverina;229;275;272;297;327;315;351;331;321;265;325;327;308;292;274;262;261
New South Wales;Murray;714;831;914;934;915;1072;1096;1221;1111;1321;1564;1458;1436;1286;1242;1192;1096
New South Wales;Central West;130;195;204;291;317;304;317;287;271;243;254;240;232;237;242;283;277
New South Wales;Sydney - Outer West and Blue Mountains;1321;1362;1377;1452;1580;1622;1651;1667;1710;1808;1899;1902;1718;1644;1474;1391;1343
New South Wales;Other Territories NSW;13;10;11;7;9;9;9;14;14;13;14;12;17;19;18;17;27
Victoria;Melbourne - Inner;15266;13169;13284;13836;15098;15385;15322;15634;16369;16249;15862;15329;14469;15375;14992;14772;14567
